Left_Channel_Raw,Right_Channel_Raw
3095,3045
3060,3013
3029,2999
3001,2981
2994,2977
2982,2974
2988,2984
2985,2992
2987,3009
2979,3017
2984,3037
2969,3044
2967,3061
2948,3056
2936,3056
2924,3049
2931,3058
2941,3061
2971,3077
3000,3081
3035,3098
3067,3110
3105,3136
3133,3157
3171,3188
3197,3209
3233,3240
3267,3261
3314,3294
3343,3312
3385,3344
3410,3358
3440,3389
3450,3403
3463,3423
3457,3427
3460,3440
3442,3426
3429,3423
3405,3402
3397,3397
3381,3380
3381,3379
3377,3370
3388,3379
3391,3371
3403,3376
3397,3359
3400,3351
3393,3329
3396,3321
3384,3295
3378,3284
3362,3253
3352,3233
3334,3201
3327,3187
3317,3165
3323,3155
3321,3134
3337,3133
3345,3120
3365,3120
3369,3105
3382,3105
3388,3097
3408,3111
3413,3117
3427,3131
3422,3133
3414,3135
3389,3123
3368,3115
3337,3102
3311,3103
3273,3095
3246,3095
3207,3089
3181,3091
3137,3079
3111,3077
3075,3067
3060,3074
3034,3074
3027,3088
3006,3090
3006,3107
2996,3110
3002,3127
2993,3137
2999,3160
2992,3172
2996,3189
2990,3197
2995,3216
2986,3219
2993,3232
2993,3237
3014,3254
3027,3259
3056,3270
3078,3267
3117,3274
3149,3267
3185,3265
3208,3255
3237,3256
3244,3248
3263,3243
3265,3229
3277,3222
3274,3197
3285,3186
3281,3156
3289,3137
3286,3108
3301,3096
3301,3070
3311,3056
3305,3026
3307,3012
3295,2993
3300,2992
3298,2981
3312,2987
3320,2979
3340,2985
3345,2976
3363,2988
3361,2992
3370,3013
3359,3024
3360,3046
3342,3059
3331,3076
3306,3080
3293,3091
3265,3088
3255,3103
3237,3107
3241,3128
3235,3143
3251,3173
3258,3189
3278,3223
3285,3242
3307,3272
3309,3289
3332,3314
3339,3327
3353,3353
3351,3363
3358,3387
3349,3392
3352,3410
3346,3418
3362,3433
3358,3431
3375,3433
3380,3421
3399,3425
3402,3413
3413,3413
3409,3398
3418,3398
3424,3396
3447,3412
3464,3426
3487,3449
3484,3446
3485,3444
3451,3412
3418,3380
3365,3328
3330,3297
3288,3251
3269,3233
3242,3207
3238,3198
3225,3177
3225,3174
3206,3145
3193,3126
3165,3088
3149,3066
3126,3035
3114,3018
3090,2995
3083,2979
3069,2960
3067,2956
3058,2943
3063,2944
3055,2935
3053,2938
3037,2923
3032,2917
3010,2898
3011,2897
3004,2884
3019,2896
3030,2902
3054,2928
3062,2938
3079,2965
3089,2976
3115,3001
3133,3016
3166,3052
3189,3083
3226,3128
3251,3158
3289,3202
3310,3225
3346,3261
3371,3283
3417,3327
3449,3366
3487,3418
3501,3440
3519,3467
3523,3476
3548,3498
3567,3513
3611,3554
3643,3589
3691,3650
3717,3693
3751,3741
3764,3760
3774,3778
3751,3763
3745,3760
3721,3741
3717,3742
3690,3728
3671,3716
3637,3690
3623,3677
3591,3644
3560,3619
3509,3571
3468,3545
3412,3493
3360,3454
3297,3395
3251,3355
3199,3301
3171,3274
3137,3239
3119,3222
3091,3189
3070,3163
3027,3114
2995,3074
2952,3019
2918,2973
2865,2917
2835,2883
2806,2848
2803,2837
2797,2818
2813,2823
2827,2826
2861,2847
2887,2864
2927,2899
2956,2923
2997,2963
3022,2977
3053,3000
3069,2999
3102,3024
3120,3034
3156,3065
3181,3088
3216,3125
3234,3148
3261,3179
3268,3193
3287,3218
3290,3227
3309,3259
3328,3287
3361,3329
3379,3357
3411,3392
3432,3410
3461,3440
3461,3445
3471,3462
3477,3472
3498,3492
3499,3493
3506,3495
3507,3486
3519,3490
3525,3481
3537,3487
3541,3484
3562,3504
3569,3504
3583,3512
3587,3504
3610,3511
3617,3504
3637,3511
3643,3506
3660,3510
3657,3496
3661,3490
3645,3466
3638,3454
3618,3419
3609,3401
3586,3368
3581,3356
3562,3332
3549,3320
3517,3292
3488,3272
3442,3241
3405,3231
3360,3216
3326,3209
3275,3190
3237,3184
3190,3157
3160,3142
3125,3114
3103,3108
3074,3088
3051,3083
3013,3062
2983,3058
2942,3041
2914,3037
2877,3021
2859,3019
2838,3009
2843,3024
2841,3025
2855,3042
2864,3048
2893,3069
2917,3079
2949,3099
2971,3104
2999,3120
3017,3122
3037,3139
3048,3140
3061,3152
3067,3157
3088,3171
3105,3178
3132,3197
3147,3201
3175,3216
3192,3216
3216,3224
3225,3223
3243,3233
3257,3239
3283,3265
3295,3280
3320,3307
3345,3323
3375,3344
3390,3329
3402,3319
3400,3288
3399,3271
3386,3244
3377,3231
3363,3209
3353,3198
3347,3179
3355,3175
3360,3162
3377,3163
3387,3155
3405,3153
3406,3142
3418,3137
3421,3125
3435,3125
3438,3120
3453,3127
3453,3126
3461,3127
3462,3122
3473,3127
3475,3125
3482,3130
3479,3129
3478,3137
3461,3140
3450,3148
3431,3149
3423,3164
3416,3170
3413,3191
3416,3207
3420,3236
3419,3249
3418,3273
3407,3280
3396,3292
3380,3301
3366,3320
3348,3333
3337,3353
3317,3364
3301,3376
3282,3376
3286,3392
3290,3404
3298,3417
3296,3418
3284,3421
3270,3408
3259,3400
3245,3386
3243,3387
3243,3382
3252,3387
3263,3389
3275,3393
3287,3388
3307,3391
3319,3381
3332,3370
3342,3353
3348,3344
3347,3327
3349,3314
3339,3292
3334,3282
3326,3266
3323,3253
3318,3236
3321,3227
3324,3211
3332,3199
3339,3184
3344,3167
3341,3153
3333,3148
3313,3130
3291,3121
3265,3106
3239,3096
3215,3080
3201,3073
3187,3063
3176,3061
3165,3056
3156,3056
3139,3056
3129,3057
3121,3064
3121,3082
3121,3095
3122,3112
3126,3121
3140,3138
3158,3153
3177,3169
3189,3173
3199,3185
3199,3187
3199,3203
3199,3211
3207,3234
3209,3248
3219,3264
3232,3280
3251,3302
3268,3314
3283,3325
3295,3329
3305,3338
3319,3344
3333,3352
3346,3358
3358,3371
3370,3381
3385,3395
3395,3408
3403,3417
3405,3416
3407,3413
3402,3402
3394,3393
3384,3379
3376,3376
3369,3368
3368,3367
3363,3360
3362,3358
3361,3351
3363,3348
3362,3339
3363,3330
3368,3318
3373,3312
3381,3293
3387,3277
3392,3259
3401,3248
3406,3237
3407,3234
3413,3231
3415,3233
3417,3226
3425,3231
3436,3234
3446,3235
3451,3231
3448,3219
3444,3210
3443,3208
3437,3203
3430,3194
3415,3184
3395,3174
3369,3163
3345,3156
3322,3152
3302,3152
3287,3148
3269,3152
3251,3152
3231,3152
3205,3152
3181,3152
3156,3152
3131,3152
3113,3156
3098,3163
3091,3164
3080,3164
3073,3164
3066,3167
3066,3174
3067,3184
3074,3192
3079,3205
3093,3218
3102,3228
3115,3231
3124,3230
3136,3230
3143,3230
3150,3227
3154,3225
3159,3225
3162,3225
3167,3221
3171,3217
3177,3209
3179,3197
3192,3188
3202,3178
3216,3167
3231,3162
3253,3162
3275,3164
3297,3160
3301,3148
3306,3127
3302,3108
3307,3091
3303,3078
